TS,X,Y,Z
1730912514555524148,-6.353,1.165,0.559
1730912514655123614,-6.353,1.165,0.556
1730912514699574614,-6.352,1.165,0.559
1730912514824594365,-6.352,1.165,0.561
1730912514897680583,-6.351,1.163,0.559
1730912514925099167,-6.351,1.163,0.559
1730912515115754413,-6.353,1.163,0.559
1730912515196316165,-6.354,1.163,0.562
1730912515290171877,-6.352,1.163,0.562
1730912515390706371,-6.353,1.162,0.56
1730912515531033662,-6.352,1.162,0.558
1730912515638383367,-6.354,1.161,0.555
1730912515690096913,-6.353,1.161,0.559
1730912515729752077,-6.353,1.161,0.559
1730912515855357859,-6.351,1.161,0.554
1730912515884706025,-6.35,1.16,0.556
1730912516023282169,-6.354,1.165,0.56
1730912516086515115,-6.355,1.165,0.56
1730912516207012305,-6.354,1.164,0.555
1730912516279073558,-6.351,1.163,0.561
1730912516378396844,-6.349,1.164,0.56
1730912516656904848,-6.332,1.153,0.562
1730912516710386620,-6.323,1.148,0.559
1730912516778877914,-6.312,1.145,0.562
1730912516923713323,-6.298,1.142,0.555
1730912517025015052,-6.283,1.143,0.543
1730912517118066462,-6.271,1.138,0.544
1730912517182567193,-6.261,1.133,0.543
1730912517275172534,-6.251,1.128,0.543
1730912517304236811,-6.251,1.128,0.543
1730912517399198443,-6.241,1.123,0.54
1730912517514564585,-6.229,1.116,0.54
1730912517636615589,-6.212,1.111,0.539
1730912517700909961,-6.192,1.105,0.532
1730912517884345394,-6.16,1.097,0.535
1730912518037847827,-6.142,1.092,0.537
1730912518085087373,-6.122,1.083,0.53
1730912518199180067,-6.101,1.073,0.53
1730912518277228934,-6.085,1.068,0.535
1730912518387736824,-6.069,1.062,0.532
1730912518527512638,-6.053,1.055,0.533
1730912518628995454,-6.04,1.049,0.536
1730912518683388113,-6.026,1.044,0.532
1730912518786942185,-6.007,1.04,0.54
1730912518876821821,-5.99,1.034,0.53
1730912518929124101,-5.99,1.034,0.53
1730912519002709238,-5.977,1.031,0.536
1730912519076315621,-5.966,1.026,0.536
1730912519201700315,-5.951,1.022,0.535
1730912519269845674,-5.935,1.015,0.537
1730912519384859923,-5.918,1.007,0.536
1730912519401181406,-5.918,1.007,0.536
1730912519507432731,-5.902,0.999,0.538
1730912519619578734,-5.886,0.994,0.535
1730912519715736448,-5.871,0.987,0.538
1730912519865393677,-5.858,0.983,0.54
1730912519923772440,-5.843,0.976,0.547
1730912519999849420,-5.827,0.975,0.563
1730912520038984744,-5.827,0.975,0.563
1730912520075110420,-5.808,0.972,0.562
1730912520209445809,-5.787,0.969,0.559
1730912520312664153,-5.766,0.962,0.564
1730912520423016341,-5.745,0.952,0.559
1730912520490672443,-5.725,0.945,0.552
1730912520630947842,-5.701,0.939,0.557
1730912520722462329,-5.678,0.929,0.553
1730912521010312316,-5.614,0.896,0.548
1730912521102252170,-5.59,0.88,0.544
1730912521200865423,-5.566,0.862,0.547
1730912521296244281,-5.545,0.844,0.555
1730912521383880570,-5.52,0.829,0.553
1730912521491506259,-5.493,0.813,0.553
1730912521540335837,-5.493,0.813,0.553
1730912521612062361,-5.468,0.798,0.553
1730912521656366119,-5.468,0.798,0.553
1730912521693422243,-5.441,0.785,0.55
1730912521857653618,-5.413,0.775,0.546
1730912521886189584,-5.392,0.766,0.548
1730912522021967492,-5.367,0.755,0.549
1730912522086231361,-5.341,0.743,0.544
1730912522175563206,-5.322,0.733,0.545
1730912522208789483,-5.322,0.733,0.545
1730912522295748611,-5.298,0.721,0.552
1730912522364226519,-5.27,0.709,0.551
1730912522512750555,-5.247,0.698,0.545
1730912522615899780,-5.223,0.684,0.543
1730912522665444412,-5.223,0.684,0.543
1730912522701337466,-5.2,0.671,0.543
1730912522792924414,-5.176,0.66,0.549
1730912522894776071,-5.152,0.647,0.55
1730912523017885965,-5.127,0.637,0.556
1730912523084625651,-5.103,0.621,0.553
1730912523174726698,-5.08,0.609,0.556
1730912523205723796,-5.08,0.609,0.556
1730912523298013513,-5.059,0.598,0.554
1730912523381218833,-5.046,0.592,0.543
1730912523503260638,-5.046,0.594,0.551
1730912523611127278,-5.048,0.597,0.547
1730912523661742590,-5.048,0.597,0.547
1730912523856825515,-5.051,0.59,0.552
1730912523893850737,-5.055,0.597,0.545
1730912524000807352,-5.055,0.596,0.543
1730912524096208445,-5.053,0.594,0.548
1730912524166051163,-5.052,0.591,0.547
1730912524304054403,-5.053,0.594,0.553
